тысяч
тысяча
тысячи
тысяче
тысячу
тысячей
тысячами
тысячах
миллион
миллиона
миллиону
миллионом
миллионе
миллионы
миллионов
миллионам
миллионами
миллионах
миллиард
миллиарда
миллиарду
миллиардом
миллиарде
миллиарды
миллиардов
миллиардам
миллиардами
миллиардах
